souche_1;souche_2;souche_3;souche_4;souche_5;stade;station ;ad nichoir;sex;obs;sta.nic;urb_level;urb_level_city;average_urb_level;habitat
SYCON05;SYBOR33;SYBOR27;SYBOR22;SYBOR08;adulte;gram;2;1;ACA;gram.2;0,15566769;0,448601481;0,254;urb
SYBOR22;PYCGPI03;PARUS77;PARUS74;PARUS72;adulte;gram;34;2;SP;gram.34;-1,624977783;-0,810490785;0,254;urb
PARUS16;;;;;adulte;gram;34;1;SP;gram.34;-1,624977783;-0,810490785;0,254;urb
PARUS82;PARUS77;PARUS73;;;adulte;gram;7;2;ACA;gram.7;1,160185873;1,472294992;0,254;urb
negatif;;;;;adulte;gram;7;1;SP;gram.7;1,160185873;1,472294992;0,254;urb
SYBOR22;PARUS77;PARUS72;AFR215;;adulte;gram;57;1;SP;gram.57;0,389792315;0,65047984;0,254;urb
PARUS74;PARUS72;;;;adulte;gram;57;2;SP;gram.57;0,389792315;0,65047984;0,254;urb
inexploitable;;;;;adulte;mas;19;1;SP;mas.19;-2,556065115;-2,099190522;-2,383;urb
SYCON05;SYBOR33;SYBOR22;SYBOR06;SPISEN05;adulte;mas;19;2;AG;mas.19;-2,556065115;-2,099190522;-2,383;urb
PARUS74;PARUS72;;;;adulte;mas;23;2;CV;mas.23;-2,251634802;-1,740093191;-2,383;urb
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;mas;39;1;AG;mas.39;-1,604641516;-1,147074264;-2,383;urb
PARUS74;PARUS19;;;;adulte;mas;39;2;AG;mas.39;-1,604641516;-1,147074264;-2,383;urb
PARUS45;PARUS34;PARUS33;PARUS28;;adulte;mas;18;2;SP;mas.18;-2,418415276;-1,992903406;-2,383;urb
PARUS34;PARUS28;PARUS16;;;adulte;mas;18;1;SP;mas.18;-2,418415276;-1,992903406;-2,383;urb
inexploitable;;;;;adulte;mas;42;1;ACA;mas.42;0,240918659;0,563545476;-2,383;urb
PARUS73;;;;;adulte;mas;28;1;SP;mas.28;-1,712568029;-1,196505216;-2,383;urb
PARUS82;PARUS77;PARUS73;;;adulte;mas;28;2;SP;mas.28;-1,712568029;-1,196505216;-2,383;urb
SYBOR22;PARUS74;PARUS72;PARUS4;PARUS18;adulte;mas;42;2;ACA;mas.42;0,240918659;0,563545476;-2,383;urb
PARUS74;;;;;adulte;mas;14;2;ACA;mas.14;-2,054680207;-1,690654789;-2,383;urb
SYBOR27;SYBOR08;SFC7;PFC2;PARUS74;adulte;mas;34;2;SP;mas.34;-1,939464958;-1,52730851;-2,383;urb
PARUS70;PARUS22;;;;adulte;mas;34;1;SP;mas.34;-1,939464958;-1,52730851;-2,383;urb
SYBOR08;SFC7;PFC2;PARUS74;PARUS72;adulte;mas;25;2;ACA;mas.25;-2,188876121;-1,804363049;-2,383;urb
PARUS82;PARUS77;PARUS4;;;adulte;mas;24;1;ACA;mas.24;-1,790063115;-1,416775794;-2,383;urb
PARUS4;PARUS18;;;;adulte;mas;12;1;SP;mas.12;-5,094277793;-4,572472137;-2,383;urb
inexploitable;;;;;adulte;mas;12;2;AC;mas.12;-5,094277793;-4,572472137;-2,383;urb
PARUS4;;;;;adulte;mas;31;2;AC;mas.31;-1,743068955;-1,231519414;-2,383;urb
PARUS77;PARUS4;PARUS18;;;adulte;mas;40;1;ACA;mas.40;-0,237646919;0,3637042;-2,383;urb
PARUS34;PARUS28;PARUS16;;;adulte;mas;40;2;ACA;mas.40;-0,237646919;0,3637042;-2,383;urb
inexploitable;;;;;adulte;mas;14;1;ACA;mas.14;-2,054680207;-1,690654789;-2,383;urb
PARUS74;;;;;adulte;mas;28;1;AC;mas.28;-1,712568029;-1,196505216;-2,383;urb
SYBOR22;PARUS74;PARUS72;PARUS4;PARUS18;adulte;mos;2;2;SP;mos.2;-1,08721302;-0,722599811;-0,865;urb
SYCON05;SYBOR33;SYBOR27;SYBOR22;SYBOR08;adulte;mos;2;1;ACA;mos.2;-1,08721302;-0,722599811;-0,865;rur
SYBOR22;PYCGPI03;PARUS77;PARUS74;PARUS72;adulte;mos;23;1;SP;mos.23;-0,559920157;-0,212649993;-0,865;rur
PARUS74;PARUS72;;;;adulte;mos;38;2;CV;mos.38;-1,558454122;-1,128383712;-0,865;rur
PARUS73;;;;;adulte;mos;20;1;CV;mos.20;-0,746294148;-0,383434654;-0,865;rur
inexploitable;;;;;adulte;mos;38;1;SP;mos.38;-1,558454122;-1,128383712;-0,865;rur
SYBOR22;PARUS74;PARUS72;PARUS4;PARUS18;adulte;mos;42;2;SP;mos.42;-1,755441497;-1,325154575;-0,865;rur
SYCON05;SYBOR33;SYBOR27;SYBOR22;SYBOR08;adulte;mos;42;1;ACA;mos.42;-1,755441497;-1,325154575;-0,865;rur
PARUS72;;;;;adulte;mos;17;1;ACA;mos.17;-1,805703227;-1,26596831;-0,865;rur
SYBOR22;PYCGPI03;PARUS77;PARUS74;PARUS72;adulte;mos;17;2;ACA;mos.17;-1,805703227;-1,26596831;-0,865;urb
PARUS74;PARUS72;;;;adulte;mos;20;2;ACA;mos.20;-0,746294148;-0,383434654;-0,865;urb
PYCGPI03;PARUS77;PARUS4;PARUS18;;adulte;mos;3;1;ACA;mos.3;0,25287584;0,737793356;-0,865;urb
SYBOR22;PARUS72;AFR215;SYCON05;SYBOR33;adulte;mos;3;2;SP;mos.3;0,25287584;0,737793356;-0,865;urb
PYCGPI03;PARUS77;PARUS4;PARUS18;PYCTRI03;adulte;mos;24;1;SP;mos.24;-0,941570101;-0,57388243;-0,865;urb
PYCTRI03;PYCGPI03;PARUS82;PARUS77;PARUS73;adulte;mos;24;2;SP;mos.24;-0,941570101;-0,57388243;-0,865;urb
SYBOR22;PYCGPI03;PARUS77;PARUS74;PARUS72;adulte;mos;18;2;ACA;mos.18;-1,306264993;-0,797116106;-0,865;rur
SYBOR08;SFC7;PFC2;PARUS74;PARUS72;adulte;mos;13;2;CF;mos.13;-0,54600037;-0,22552177;-0,865;rur
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;mos;23;2;AC;mos.23;-0,559920157;-0,212649993;-0,865;rur
PARUS74;;;;;adulte;mos;23;1;AC;mos.23;-0,559920157;-0,212649993;-0,865;rur
PARUS77;PARUS4;;;;adulte;mos;17;1;AC;mos.17;-1,805703227;-1,26596831;-0,865;rur
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;mos;17;2;AC;mos.17;-1,805703227;-1,26596831;-0,865;rur
PARUS77;PARUS73;PARUS4;PARUS18;;adulte;mos;3;1;SP;mos.3;0,25287584;0,737793356;-0,865;rur
PARUS4;PARUS18;;;;adulte;mos;43;1;SP;mos.43;-0,825048848;-0,487594621;-0,865;rur
PARUS4;PARUS18;;;;adulte;mos;43;2;SP;mos.43;-0,825048848;-0,487594621;-0,865;rur
SYBOR27;SYBOR08;SFC7;PFC2;PARUS74;adulte;mos;24;2;SP;mos.24;-0,941570101;-0,57388243;-0,865;rur
SYBOR22;PARUS74;PARUS72;PARUS4;PARUS18;adulte;mos;3;2;ACA;mos.3;0,25287584;0,737793356;-0,865;rur
inexploitable;;;;;adulte;mos;12;1;ACA;mos.12;-0,78140826;-0,389133823;-0,865;rur
PARUS4;PARUS18;;;;adulte;mos;24;1;AC;mos.24;-0,941570101;-0,57388243;-0,865;urb
PARUS49;PARUS4;PARUS34;PARUS33;PARUS28;adulte;mos;24;2;AC;mos.24;-0,941570101;-0,57388243;-0,865;urb
