Row,LocationID,NestboxID,LocationType,PopID,Latitude,Longitude,StartSeason,EndSeason,HabitatType,Warning,Error,PopNestboxID
5186,rou_156_NB,rou_156_NB,NB,rou,43.66796,3.6708,1993,NA,deciduous,NA,NA,ROU rou_156_NB
5187,rou_157_NB,rou_157_NB,NB,rou,43.667561,3.670699,1994,NA,deciduous,NA,NA,ROU rou_157_NB
5188,rou_158_NB,rou_158_NB,NB,rou,43.667402,3.670691,1993,NA,deciduous,NA,NA,ROU rou_158_NB
5189,rou_159_NB,rou_159_NB,NB,rou,43.667248,3.67051,1994,NA,deciduous,NA,NA,ROU rou_159_NB
5191,rou_16_NB,rou_16_NB,NB,rou,43.659987,3.667386,1994,NA,deciduous,NA,NA,ROU rou_16_NB
5192,rou_160_NB,rou_160_NB,NB,rou,43.667187,3.670512,1993,NA,deciduous,NA,NA,ROU rou_160_NB
5194,rou_161_NB,rou_161_NB,NB,rou,43.666873,3.67028,1995,NA,deciduous,NA,NA,ROU rou_161_NB
5195,rou_162_NB,rou_162_NB,NB,rou,43.666492,3.670143,1994,NA,deciduous,NA,NA,ROU rou_162_NB
5197,rou_163_NB,rou_163_NB,NB,rou,43.66614,3.670088,1995,NA,deciduous,NA,NA,ROU rou_163_NB
5198,rou_164_NB,rou_164_NB,NB,rou,43.66603,3.669879,1993,NA,deciduous,NA,NA,ROU rou_164_NB
5200,rou_165_NB,rou_165_NB,NB,rou,43.665529,3.669706,1995,NA,deciduous,NA,NA,ROU rou_165_NB
5201,rou_166_NB,rou_166_NB,NB,rou,43.665749,3.669839,1995,NA,deciduous,NA,NA,ROU rou_166_NB
5202,rou_167_NB,rou_167_NB,NB,rou,43.665199,3.669663,1994,NA,deciduous,NA,NA,ROU rou_167_NB
5203,rou_168_NB,rou_168_NB,NB,rou,43.664651,3.669398,1993,NA,deciduous,NA,NA,ROU rou_168_NB
5205,rou_169_NB,rou_169_NB,NB,rou,43.664721,3.669393,1994,NA,deciduous,NA,NA,ROU rou_169_NB
5206,rou_17_NB,rou_17_NB,NB,rou,43.659377,3.667304,1992,NA,deciduous,NA,NA,ROU rou_17_NB
5207,rou_170_NB,rou_170_NB,NB,rou,43.664775,3.669441,1994,NA,deciduous,NA,NA,ROU rou_170_NB
5209,rou_171_NB,rou_171_NB,NB,rou,43.664308,3.669227,1993,NA,deciduous,NA,NA,ROU rou_171_NB
5210,rou_172_NB,rou_172_NB,NB,rou,43.66402,3.669121,1994,NA,deciduous,NA,NA,ROU rou_172_NB
5211,rou_173_NB,rou_173_NB,NB,rou,43.663725,3.6689,1993,NA,deciduous,NA,NA,ROU rou_173_NB
5213,rou_175_NB,rou_175_NB,NB,rou,43.662961,3.668667,1994,NA,deciduous,NA,NA,ROU rou_175_NB
5215,rou_176_NB,rou_176_NB,NB,rou,43.661856,3.671294,1993,NA,deciduous,NA,NA,ROU rou_176_NB
5216,rou_177_NB,rou_177_NB,NB,rou,43.6617,3.670987,1994,NA,deciduous,NA,NA,ROU rou_177_NB
5218,rou_178_NB,rou_178_NB,NB,rou,43.661573,3.670581,1993,NA,deciduous,NA,NA,ROU rou_178_NB
5219,rou_179_NB,rou_179_NB,NB,rou,43.661563,3.670369,1994,NA,deciduous,NA,NA,ROU rou_179_NB
5220,rou_18_NB,rou_18_NB,NB,rou,43.658981,3.667101,1992,NA,deciduous,NA,NA,ROU rou_18_NB
5221,rou_180_NB,rou_180_NB,NB,rou,43.661483,3.669979,1996,NA,deciduous,NA,NA,ROU rou_180_NB
5222,rou_181_NB,rou_181_NB,NB,rou,43.661357,3.66968,1993,NA,deciduous,NA,NA,ROU rou_181_NB
5224,rou_182_NB,rou_182_NB,NB,rou,43.661146,3.669336,1994,NA,deciduous,NA,NA,ROU rou_182_NB
5225,rou_183_NB,rou_183_NB,NB,rou,43.661024,3.669047,1994,NA,deciduous,NA,NA,ROU rou_183_NB
5227,rou_184_NB,rou_184_NB,NB,rou,43.660889,3.668673,1995,NA,deciduous,NA,NA,ROU rou_184_NB
5228,rou_185_NB,rou_185_NB,NB,rou,43.661729,3.669744,1994,NA,deciduous,NA,NA,ROU rou_185_NB
5229,rou_186_NB,rou_186_NB,NB,rou,43.661938,3.669491,1994,NA,deciduous,NA,NA,ROU rou_186_NB
5230,rou_187_NB,rou_187_NB,NB,rou,43.671635,3.665377,1994,NA,deciduous,NA,NA,ROU rou_187_NB
